+-----+-------------------------------------------------------+-------------------+---------------+----------------+------------+------------+----------+----------+----------+------------+---------+----------+------------+
|     | Name                                                  | Shape             |   NNZ (dense) |   NNZ (sparse) |   Cols (%) |   Rows (%) |   Ch (%) |   2D (%) |   3D (%) |   Fine (%) |     Std |     Mean |   Abs-Mean |
|  25 | module.features.denseblock2.denselayer6.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00301 | -0.00012 |    0.00182 |
|  26 | module.features.denseblock2.denselayer7.conv1.weight  | (128, 320, 1, 1)  |         40960 |          40960 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00291 | -0.00005 |    0.00153 |
|  27 | module.features.denseblock2.denselayer7.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00315 | -0.00013 |    0.00198 |
|  28 | module.features.denseblock2.denselayer8.conv1.weight  | (128, 352, 1, 1)  |         45056 |          45056 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00299 | -0.00006 |    0.00158 |
|  29 | module.features.denseblock2.denselayer8.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00306 | -0.00008 |    0.00186 |
|  30 | module.features.denseblock2.denselayer9.conv1.weight  | (128, 384, 1, 1)  |         49152 |          49152 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00267 | -0.00008 |    0.00132 |
|  31 | module.features.denseblock2.denselayer9.conv2.weight  | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00291 | -0.00010 |    0.00174 |
|  32 | module.features.denseblock2.denselayer10.conv1.weight | (128, 416, 1, 1)  |         53248 |          53248 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00190 | -0.00001 |    0.00072 |
|  33 | module.features.denseblock2.denselayer10.conv2.weight | (32, 128, 3, 3)   |         36864 |          36864 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00191 | -0.00006 |    0.00083 |
|  34 | module.features.denseblock2.denselayer11.conv1.weight | (128, 448, 1, 1)  |         57344 |          57344 |    0.00000 |    0.00000 |  0.00000 |  0.00000 |  0.00000 |    0.00000 | 0.00246 | -0.00003 |    0.00105 |
