parameter,sparsity,nat_top1,nat_top5,nat_loss,adv_top1,adv_top5,adv_loss,variance
module.basic_model.model.0.0.weight,0.0,69.57,89.072,1.2836479661331996,0.19799999999999818,2.2619999999999973,28.75971395299746,0.2829296886920929
module.basic_model.model.0.0.weight,0.05,69.57,89.072,1.2836479661331996,0.20000000000000018,2.2599999999999953,28.761541646638918,0.2829296886920929
module.basic_model.model.0.0.weight,0.1,69.57,89.072,1.2836479661331996,0.19400000000000528,2.2660000000000013,28.75804106455472,0.2829296886920929
module.basic_model.model.0.0.weight,0.15000000000000002,69.57,89.072,1.2836479661331996,0.20400000000000418,2.2560000000000024,28.75350823008856,0.2829296886920929
module.basic_model.model.0.0.weight,0.2,69.57,89.072,1.2836479661331996,0.19799999999999818,2.2660000000000013,28.763353080529914,0.2829296886920929
module.basic_model.model.0.0.weight,0.25,69.57,89.072,1.2836479661331996,0.19799999999999818,2.2599999999999953,28.747152648213127,0.2829296886920929
module.basic_model.model.0.0.weight,0.30000000000000004,69.57,89.072,1.2836479661331996,0.19400000000000528,2.2419999999999995,28.762223771803654,0.2829296886920929
module.basic_model.model.0.0.weight,0.35000000000000003,69.57,89.072,1.2836479661331996,0.19799999999999818,2.2299999999999986,28.77130531791836,0.2829296886920929
module.basic_model.model.0.0.weight,0.4,69.57,89.072,1.2836479661331996,0.19799999999999818,2.2780000000000022,28.742199628992307,0.2829296886920929
module.basic_model.model.0.0.weight,0.45,69.57,89.072,1.2836479661331996,0.19599999999999618,2.2719999999999962,28.766196251525667,0.2829296886920929
module.basic_model.model.0.0.weight,0.5,69.57,89.072,1.2836479661331996,0.19799999999999818,2.2499999999999964,28.76303032370458,0.2829296886920929
module.basic_model.model.0.0.weight,0.55,69.57,89.072,1.2836479661331996,0.19799999999999818,2.292000000000005,28.75863525551709,0.2829296886920929
module.basic_model.model.0.0.weight,0.6000000000000001,69.554,89.062,1.2841633136884116,0.20000000000000018,2.2540000000000004,28.759774514977515,0.2829296886920929
module.basic_model.model.0.0.weight,0.65,69.508,89.032,1.2857253381020737,0.19400000000000528,2.3259999999999947,28.802218210216658,0.2829296886920929
module.basic_model.model.0.0.weight,0.7000000000000001,69.44,88.90400000000001,1.2919797397773358,0.19599999999999618,2.2619999999999973,28.605774708611776,0.2829296886920929
module.basic_model.model.0.0.weight,0.75,67.838,87.94999999999999,1.363410303780303,0.18599999999999728,2.2599999999999953,28.152617690354216,0.2829296886920929
module.basic_model.model.0.0.weight,0.8,65.57600000000001,86.312,1.4659105293352628,0.16800000000000148,2.1660000000000013,27.80321364424127,0.2829296886920929
module.basic_model.model.0.0.weight,0.8500000000000001,58.77,81.362,1.8122224772655244,0.19599999999999618,2.1059999999999968,28.41115048445726,0.2829296886920929
module.basic_model.model.0.0.weight,0.9,48.268,73.196,2.3724784203164493,0.16599999999999948,1.4480000000000048,27.456425393764093,0.2829296886920929
module.basic_model.model.1.0.weight,0.0,69.57,89.072,1.2836479661331996,0.19400000000000528,2.2680000000000033,28.76404447213857,0.42099618911743164
module.basic_model.model.1.0.weight,0.05,69.57,89.072,1.2836479661331996,0.19200000000000328,2.2560000000000024,28.75612571494217,0.42099618911743164
module.basic_model.model.1.0.weight,0.1,69.57,89.072,1.2836479661331996,0.20200000000000218,2.2499999999999964,28.75574210478722,0.42099618911743164
module.basic_model.model.1.0.weight,0.15000000000000002,69.57,89.072,1.2836479661331996,0.19599999999999618,2.2719999999999962,28.758651666891407,0.42099618911743164
module.basic_model.model.1.0.weight,0.2,69.57,89.072,1.2836479661331996,0.19599999999999618,2.2780000000000022,28.759491970503987,0.42099618911743164
module.basic_model.model.1.0.weight,0.25,69.57,89.072,1.2836479661331996,0.19799999999999818,2.2719999999999962,28.751479644311654,0.42099618911743164
module.basic_model.model.1.0.weight,0.30000000000000004,69.57,89.072,1.2836479661331996,0.18799999999999928,2.2499999999999964,28.772279345218912,0.42099618911743164
