Name,Shape,NNZ (dense),NNZ (sparse),Cols (%),Rows (%),Ch (%),2D (%),3D (%),Fine (%),Std,Mean,Abs-Mean
module.Mixed_6e.branch7x7dbl_5.conv.weight,"(192, 192, 1, 7)",258048,258048,0,0,0.0,0.0,0.0,0.0,0.0010865138610824943,8.260163303930312e-05,0.00018331418687012047
module.Mixed_6e.branch_pool.conv.weight,"(192, 768, 1, 1)",147456,147456,0,0,0.0,0.0,0.0,0.0,5.3959240176482126e-05,5.582229277933948e-06,4.1422437789151445e-05
module.Mixed_7a.branch3x3_1.conv.weight,"(192, 768, 1, 1)",147456,147456,0,0,0.0,0.0,0.0,0.0,3.5015462344745174e-05,8.415053684984741e-07,2.9733071642112918e-05
module.Mixed_7a.branch3x3_2.conv.weight,"(320, 192, 3, 3)",552960,552960,0,0,0.0,0.0,0.0,0.0,2.252884951303713e-05,8.982008026237054e-09,1.922472620208282e-05
module.Mixed_7a.branch7x7x3_1.conv.weight,"(192, 768, 1, 1)",147456,147456,0,0,0.0,0.0,0.0,0.0,0.0008699327590875328,4.492060179472901e-05,0.00010509301500860602
module.Mixed_7a.branch7x7x3_2.conv.weight,"(192, 192, 1, 7)",258048,258048,0,0,0.0,0.0,0.0,0.0,0.0004155484202783555,4.632855416275561e-05,6.526186916744336e-05
module.Mixed_7a.branch7x7x3_3.conv.weight,"(192, 192, 7, 1)",258048,258048,0,0,0.0,0.0,0.0,0.0,0.00043558565084822476,2.4600809410912916e-05,4.786706267623231e-05
module.Mixed_7a.branch7x7x3_4.conv.weight,"(192, 192, 3, 3)",331776,331776,0,0,0.0,0.0,0.0,0.0,0.0004613769706338644,2.3477903596358374e-05,4.900465501123108e-05
module.Mixed_7b.branch1x1.conv.weight,"(320, 1280, 1, 1)",409600,409600,0,0,0.0,0.0,0.0,0.0,3.2884803658816963e-05,-1.3765488802164327e-06,2.5631730750319548e-05
module.Mixed_7b.branch3x3_1.conv.weight,"(384, 1280, 1, 1)",491520,491520,0,0,0.0,0.0,0.0,0.0,4.037313919980079e-05,-7.936215524750878e-07,2.980802491947543e-05
